2016/01/31;7 %; 
2016/02/01;3 %; 
2016/02/02;60 %; 
2016/02/03;79 %; 
2016/02/04;1 %; 
2016/02/05;94 %; 
2016/02/06;49 %; 
2016/02/07;15 %; 
2016/02/08;100 %; 
2016/02/09;11 %; 
2016/02/10;43 %; 
2016/02/11;90 %; 
2016/02/12;0 %; 
2016/02/13;83 %; 
2016/02/14;65 %; 
2016/02/15;6 %; 
2016/02/16;98 %; 
2016/02/17;24 %; 
2016/02/18;28 %; 
2016/02/19;97 %; 
2016/02/20;5 %; 
2016/02/21;68 %; 
2016/02/22;79 %; 
2016/02/23;1 %; 
2016/02/24;91 %; 
2016/02/25;41 %; 
2016/02/26;15 %; 
2016/02/27;100 %; 
2016/02/28;14 %; 
2016/02/29;50 %; 
2016/03/01;10 %; 
2016/03/02;44 %; 
2016/03/03;90 %; 
2016/03/04;0 %; 
2016/03/05;84 %; 
2016/03/06;65 %; 
2016/03/07;6 %; 
2016/03/08;100 %; 
2016/03/09;23 %; 
2016/03/10;28 %; 
2016/03/11;97 %; 
2016/03/12;1 %; 
2016/03/13;69 %; 
2016/03/14;79 %; 
2016/03/15;1 %; 
2016/03/16;96 %; 
2016/03/17;40 %; 
2016/03/18;15 %; 
2016/03/19;100 %; 
2016/03/20;7 %; 
2016/03/21;51 %; 
2016/03/22;90 %; 
2016/03/23;1 %; 
2016/03/24;88 %; 
2016/03/25;58 %; 
2016/03/26;6 %; 
2016/03/27;98 %; 
2016/03/28;18 %; 
2016/03/29;34 %; 
2016/03/30;97 %; 
2016/03/31;5 %; 
2016/04/01;4 %; 
2016/04/02;58 %; 
2016/04/03;76 %; 
2016/04/04;4 %; 
2016/04/05;91 %; 
2016/04/06;50 %; 
2016/04/07;18 %; 
2016/04/08;99 %; 
2016/04/09;14 %; 
2016/04/10;42 %; 
2016/04/11;87 %; 
2016/04/12;0 %; 
2016/04/13;79 %; 
2016/04/14;65 %; 
2016/04/15;8 %; 
2016/04/16;100 %; 
2016/04/17;29 %; 
2016/04/18;29 %; 
2016/04/19;96 %; 
2016/04/20;2 %; 
2016/04/21;63 %; 
2016/04/22;77 %; 
2016/04/23;1 %; 
2016/04/24;95 %; 
2016/04/25;46 %; 
2016/04/26;17 %; 
2016/04/27;100 %; 
2016/04/28;9 %; 
2016/04/29;45 %; 
2016/04/30;88 %; 
2016/05/01;4 %; 
2016/05/02;63 %; 
2016/05/03;69 %; 
2016/05/04;5 %; 
2016/05/05;92 %; 
2016/05/06;44 %; 
2016/05/07;24 %; 
2016/05/08;98 %; 
2016/05/09;13 %; 
2016/05/10;49 %; 
2016/05/11;83 %; 
2016/05/12;0 %; 
2016/05/13;81 %; 
2016/05/14;58 %; 
2016/05/15;11 %; 
2016/05/16;100 %; 
2016/05/17;27 %; 
2016/05/18;36 %; 
2016/05/19;93 %; 
2016/05/20;2 %; 
2016/05/21;65 %; 
2016/05/22;71 %; 
2016/05/23;3 %; 
2016/05/24;96 %; 
2016/05/25;43 %; 
2016/05/26;23 %; 
2016/05/27;99 %; 
2016/05/28;9 %; 
2016/05/29;49 %; 
2016/05/30;83 %; 
2016/05/31;0 %; 
2016/06/01;0 %; 
2016/06/02;80 %; 
2016/06/03;54 %; 
2016/06/04;11 %; 
2016/06/05;98 %; 
2016/06/06;27 %; 
2016/06/07;38 %; 
2016/06/08;94 %; 
2016/06/09;5 %; 
2016/06/10;67 %; 
2016/06/11;70 %; 
2016/06/12;3 %; 
2016/06/13;91 %; 
2016/06/14;39 %; 
2016/06/15;22 %; 
2016/06/16;99 %; 
2016/06/17;15 %; 
2016/06/18;54 %; 
2016/06/19;85 %; 
2016/06/20;0 %; 
2016/06/21;79 %; 
2016/06/22;53 %; 
2016/06/23;9 %; 
2016/06/24;99 %; 
2016/06/25;28 %; 
2016/06/26;40 %; 
2016/06/27;95 %; 
2016/06/28;3 %; 
2016/06/29;65 %; 
2016/06/30;67 %; 
2016/07/01;0 %; 
2016/07/02;85 %; 
2016/07/03;51 %; 
2016/07/04;12 %; 
2016/07/05;99 %; 
2016/07/06;20 %; 
2016/07/07;40 %; 
2016/07/08;93 %; 
2016/07/09;3 %; 
2016/07/10;74 %; 
2016/07/11;69 %; 
2016/07/12;3 %; 
2016/07/13;94 %; 
2016/07/14;33 %; 
2016/07/15;23 %; 
2016/07/16;99 %; 
2016/07/17;11 %; 
